,City,City Name,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country
0,3356213,Khorixas,-20.3667,14.9667,64.4,18,13,1.12,NA
1,3449747,Santa Vitória do Palmar,-33.5189,-53.3681,57.38,78,79,9.53,BR
2,2194098,Ahipara,-35.1667,173.1667,52.23,83,81,9.48,NZ
3,3369157,Cape Town,-33.9258,18.4232,53.47,66,0,5.75,ZA
4,6457405,Province of Vibo Valentia,38.6996,16.1274,71.8,72,24,10.51,IT
5,3652764,Puerto Ayora,-0.7393,-90.3518,74.55,85,82,5.01,EC
6,2108502,Honiara,-9.4333,159.95,76.95,80,7,8.28,SB
7,3445026,Vila Velha,-20.3297,-40.2925,80.96,70,40,10.36,BR
8,478050,Ust'-Kulom,61.6864,53.6902,61.48,87,54,1.19,RU
9,3424607,Tasiilaq,65.6145,-37.6368,41.16,81,56,5.46,GL
10,2163355,Hobart,-42.8794,147.3294,43.47,93,100,1.01,AU
11,4001056,La Orilla,17.9833,-102.2333,86.22,69,84,5.08,MX
12,1633419,Padang,-0.9492,100.3543,71.65,74,65,4.92,ID
13,3466165,Cidreira,-30.1811,-50.2056,61.07,92,100,14.92,BR
14,5855927,Hilo,19.7297,-155.09,78.19,76,35,3.0,US
15,3115824,Muros,42.7762,-9.0603,81.81,52,11,13.31,ES
16,6201424,Mataura,-46.1927,168.8643,42.48,97,100,7.52,NZ
17,4021858,Guerrero Negro,27.9769,-114.0611,77.77,59,86,12.03,MX
18,1735106,George Town,5.4112,100.3354,82.78,82,20,1.14,MY
19,355449,Esna,25.2934,32.554,94.59,15,24,11.43,EG
20,6167817,Torbay,47.6666,-52.7314,74.48,39,4,14.81,CA
21,3366880,Hermanus,-34.4187,19.2345,46.8,65,0,3.4,ZA
22,2067089,Maningrida,-12.0667,134.2667,69.12,92,98,6.42,AU
23,2075265,Busselton,-33.65,115.3333,52.05,74,95,14.63,AU
24,2126199,Cherskiy,68.75,161.3,40.68,80,99,10.63,RU
25,4035715,Avarua,-21.2078,-159.775,77.16,78,99,12.41,CK
26,2071860,Esperance,-33.8667,121.9,55.74,82,86,26.33,AU
27,876177,Luau,-10.7073,22.2247,69.6,29,8,1.99,AO
28,3137469,Sørland,67.667,12.6934,51.66,83,62,41.47,NO
29,3628473,San Cristobal,7.7669,-72.225,84.09,42,78,9.31,VE
30,1628884,Sampit,-2.5333,112.95,73.8,90,99,2.48,ID
31,6089245,Norman Wells,65.282,-126.8329,45.09,51,88,12.35,CA
32,3466980,Caravelas,-17.7125,-39.2481,78.64,55,0,7.56,BR
33,2729907,Longyearbyen,78.2186,15.6401,46.24,81,40,3.44,SJ
34,3833367,Ushuaia,-54.8,-68.3,34.57,88,99,1.88,AR
35,3671387,Puerto Nariño,-3.7703,-70.3831,90.41,50,48,2.57,CO
36,1852357,Shimoda,34.6667,138.95,75.79,89,100,4.68,JP
37,964432,Port Alfred,-33.5906,26.891,56.71,55,0,4.65,ZA
38,695104,Ruska Poliana,49.417,31.9201,76.17,53,0,3.13,UA
39,3893726,Constitución,-35.3333,-72.4167,56.55,62,0,13.04,CL
40,4677526,Burkburnett,34.0979,-98.5706,88.75,57,75,4.0,US
41,4030556,Rikitea,-23.1203,-134.9692,72.9,73,10,10.29,PF
42,1714733,Dingle,10.9995,122.6711,76.55,90,94,2.68,PH
43,3393692,Itarema,-2.9248,-39.9167,82.22,68,57,15.01,BR
44,4020109,Atuona,-9.8,-139.0333,78.28,67,22,26.75,PF
45,3421982,Maniitsoq,65.4167,-52.9,48.38,86,18,6.35,GL
46,1529484,Kumul,42.8,93.45,86.52,28,0,4.83,CN
47,53372,Oodweyne,9.4092,45.064,74.08,43,94,20.22,SO
48,2015306,Tiksi,71.6872,128.8694,43.92,76,93,16.28,RU
49,3831208,Qaanaaq,77.484,-69.3632,36.39,91,100,7.54,GL
50,5106841,Albany,42.6001,-73.9662,83.03,69,40,1.9,US
51,3464100,Entre Rios,-11.9419,-38.0844,80.29,53,29,8.7,BR
52,3894426,Coyhaique,-45.5752,-72.0662,44.55,76,90,6.91,CL
